,APPOINTMENT_DATE,UNIQUE_PROVIDER_COUNT,EFFECTIVE_RATIO
0,2009-12-01,3,0.5555555555555556
1,2009-12-02,2,0.7058823529411765
2,2009-12-03,2,0.6
3,2009-12-04,2,0.6666666666666666
4,2009-12-05,2,0.5294117647058824
5,2009-12-06,2,0.7857142857142857
6,2009-12-07,2,0.65
7,2009-12-08,3,0.6
8,2009-12-09,2,0.6842105263157895
9,2009-12-10,2,0.5
10,2009-12-11,2,0.5833333333333334
11,2009-12-12,2,0.8333333333333334
12,2009-12-13,2,0.6923076923076923
13,2009-12-14,3,0.6818181818181818
14,2009-12-15,3,0.7222222222222222
15,2009-12-16,2,0.7647058823529411
16,2009-12-17,3,0.5263157894736842
17,2009-12-18,2,0.625
18,2009-12-19,2,0.6666666666666666
19,2009-12-20,2,0.6111111111111112
20,2009-12-21,3,0.7
21,2009-12-22,3,1.0
22,2009-12-23,2,0.6086956521739131
23,2009-12-24,2,0.5555555555555556
24,2009-12-25,2,0.8823529411764706
25,2009-12-26,2,0.8888888888888888
26,2009-12-27,2,0.8888888888888888
27,2009-12-28,3,0.7727272727272727
28,2009-12-29,3,0.6363636363636364
29,2009-12-30,2,0.7
30,2009-12-31,2,0.7142857142857143
31,2010-01-01,3,0.7878787878787878
32,2010-01-02,5,0.36363636363636365
33,2010-01-03,2,0.6111111111111112
34,2010-01-04,3,0.7894736842105263
35,2010-01-05,3,0.7391304347826086
36,2010-01-06,2,0.7368421052631579
37,2010-01-07,2,0.7916666666666666
38,2010-01-08,2,0.5909090909090909
39,2010-01-09,2,0.8571428571428571
40,2010-01-10,2,0.5625
41,2010-01-11,5,0.7
42,2010-01-12,4,0.47368421052631576
43,2010-01-13,3,0.6153846153846154
44,2010-01-14,3,0.6538461538461539
45,2010-01-15,3,0.5172413793103449
46,2010-01-16,2,0.65
47,2010-01-17,3,0.9
48,2010-01-18,4,0.8571428571428571
49,2010-01-19,4,0.6956521739130435
50,2010-01-20,3,0.782608695652174
51,2010-01-21,3,0.7222222222222222
52,2010-01-22,2,0.7058823529411765
53,2010-01-23,2,0.55
54,2010-01-24,2,0.5714285714285714
55,2010-01-25,4,0.7894736842105263
56,2010-01-26,4,0.7058823529411765
57,2010-01-27,3,0.5714285714285714
58,2010-01-28,3,0.6296296296296297
